dt,x,y,z
1,-3172151.751442762,4380158.938275572,3370395.787390373
0.5,-3172091.681575717,4380157.762680689,3370453.284926448
0.25,-3172061.900678415,4380156.804303473,3370482.273817685
0.2,-3172055.964817082,4380156.582989089,3370488.090800661
0.1,-3172044.113411327,4380156.110723394,3370499.743969888
0.05,-3172038.197866749,4380155.859772355,3370505.580155914
0.025,-3172035.242634017,4380155.730592317,3370508.500649246
0.01,-3172033.470307031,4380155.651898919,3370510.253713344
0.001,-3172032.407203388,4380155.604256064,3370511.305828322
