step,time,pf_lat,pf_lon,pf_alt,t1_lat,t1_lon,t1_alt,t1_yaw,t1_vx,t1_vy,t1_vz,t1_spd,t2_lat,t2_lon,t2_alt,t2_yaw,t2_vx,t2_vy,t2_vz,t2_spd
27,2.7000,32.000000000,126.000000000,0.0000,32.125000000,126.029141628,0.0000,-90.0000,24.261538,17.645900,0.000000,30.000000,32.115130490,126.000000000,300.0000,-180.0000,-62.495946,86.018290,-169.396312,200.000000
28,2.8000,32.000000000,126.000000000,0.0000,32.125000000,126.029109837,0.0000,-90.0000,24.261548,17.645886,0.000000,30.000000,32.114950137,126.000000000,300.0000,-180.0000,-62.495632,86.017858,-169.396647,200.000000
29,2.9000,32.000000000,126.000000000,0.0000,32.125000000,126.029078045,0.0000,-90.0000,24.261558,17.645873,0.000000,30.000000,32.114769785,126.000000000,300.0000,-180.0000,-62.495319,86.017427,-169.396982,200.000000
30,3.0000,32.000000000,126.000000000,0.0000,32.125000000,126.029046254,0.0000,-90.0000,24.261567,17.645859,0.000000,30.000000,32.114589433,126.000000000,300.0000,-180.0000,-62.495005,86.016995,-169.397316,200.000000
31,3.1000,32.000000000,126.000000000,0.0000,32.125000000,126.029014462,0.0000,-90.0000,24.261577,17.645846,0.000000,30.000000,32.114409080,126.000000000,300.0000,-180.0000,-62.494692,86.016564,-169.397651,200.000000
32,3.2000,32.000000000,126.000000000,0.0000,32.125000000,126.028982671,0.0000,-90.0000,24.261587,17.645832,0.000000,30.000000,32.114228728,126.000000000,300.0000,-180.0000,-62.494378,86.016133,-169.397986,200.000000
33,3.3000,32.000000000,126.000000000,0.0000,32.125000000,126.028950879,0.0000,-90.0000,24.261597,17.645819,0.000000,30.000000,32.114048376,126.000000000,300.0000,-180.0000,-62.494065,86.015701,-169.398320,200.000000
34,3.4000,32.000000000,126.000000000,0.0000,32.125000000,126.028919088,0.0000,-90.0000,24.261606,17.645805,0.000000,30.000000,32.113868023,126.000000000,300.0000,-180.0000,-62.493752,86.015270,-169.398655,200.000000
35,3.5000,32.000000000,126.000000000,0.0000,32.125000000,126.028887296,0.0000,-90.0000,24.261616,17.645792,0.000000,30.000000,32.113687671,126.000000000,300.0000,-180.0000,-62.493438,86.014839,-169.398990,200.000000
36,3.6000,32.000000000,126.000000000,0.0000,32.125000000,126.028855504,0.0000,-90.0000,24.261626,17.645779,0.000000,30.000000,32.113507319,126.000000000,300.0000,-180.0000,-62.493125,86.014407,-169.399324,200.000000
37,3.7000,32.000000000,126.000000000,0.0000,32.125000000,126.028823713,0.0000,-90.0000,24.261636,17.645765,0.000000,30.000000,32.113326966,126.000000000,300.0000,-180.0000,-62.492811,86.013976,-169.399659,200.000000
38,3.8000,32.000000000,126.000000000,0.0000,32.125000000,126.028791921,0.0000,-90.0000,24.261646,17.645752,0.000000,30.000000,32.113146614,126.000000000,300.0000,-180.0000,-62.492498,86.013544,-169.399994,200.000000
39,3.9000,32.000000000,126.000000000,0.0000,32.125000000,126.028760130,0.0000,-90.0000,24.261655,17.645738,0.000000,30.000000,32.112966262,126.000000000,300.0000,-180.0000,-62.492185,86.013113,-169.400328,200.000000
40,4.0000,32.000000000,126.000000000,0.0000,32.125000000,126.028728338,0.0000,-90.0000,24.261665,17.645725,0.000000,30.000000,32.112785909,126.000000000,300.0000,-180.0000,-62.491871,86.012682,-169.400663,200.000000
41,4.1000,32.000000000,126.000000000,0.0000,32.125000000,126.028696547,0.0000,-90.0000,24.261675,17.645711,0.000000,30.000000,32.112605557,126.000000000,300.0000,-180.0000,-62.491558,86.012250,-169.400998,200.000000
42,4.2000,32.000000000,126.000000000,0.0000,32.125000000,126.028664755,0.0000,-90.0000,24.261685,17.645698,0.000000,30.000000,32.112425204,126.000000000,300.0000,-180.0000,-62.491244,86.011819,-169.401332,200.000000
43,4.3000,32.000000000,126.000000000,0.0000,32.125000000,126.028632964,0.0000,-90.0000,24.261695,17.645684,0.000000,30.000000,32.112244852,126.000000000,300.0000,-180.0000,-62.490931,86.011387,-169.401667,200.000000
44,4.4000,32.000000000,126.000000000,0.0000,32.125000000,126.028601172,0.0000,-90.0000,24.261704,17.645671,0.000000,30.000000,32.112064500,126.000000000,300.0000,-180.0000,-62.490617,86.010956,-169.402002,200.000000
45,4.5000,32.000000000,126.000000000,0.0000,32.125000000,126.028569381,0.0000,-90.0000,24.261714,17.645657,0.000000,30.000000,32.111884147,126.000000000,300.0000,-180.0000,-62.490304,86.010525,-169.402336,200.000000
46,4.6000,32.000000000,126.000000000,0.0000,32.125000000,126.028537589,0.0000,-90.0000,24.261724,17.645644,0.000000,30.000000,32.111703795,126.000000000,300.0000,-180.0000,-62.489991,86.010093,-169.402671,200.000000
47,4.7000,32.000000000,126.000000000,0.0000,32.125000000,126.028505798,0.0000,-90.0000,24.261734,17.645630,0.000000,30.000000,32.111523442,126.000000000,300.0000,-180.0000,-62.489677,86.009662,-169.403006,200.000000
48,4.8000,32.000000000,126.000000000,0.0000,32.125000000,126.028474006,0.0000,-90.0000,24.261744,17.645617,0.000000,30.000000,32.111343090,126.000000000,300.0000,-180.0000,-62.489364,86.009230,-169.403340,200.000000
49,4.9000,32.000000000,126.000000000,0.0000,32.125000000,126.028442214,0.0000,-90.0000,24.261753,17.645604,0.000000,30.000000,32.111162738,126.000000000,300.0000,-180.0000,-62.489050,86.008799,-169.403675,200.000000
50,5.0000,32.000000000,126.000000000,0.0000,32.125000000,126.028410423,0.0000,-90.0000,24.261763,17.645590,0.000000,30.000000,32.110982385,126.000000000,300.0000,-180.0000,-62.488737,86.008368,-169.404010,200.000000
51,5.1000,32.000000000,126.000000000,0.0000,32.125000000,126.028378631,0.0000,-90.0000,24.261773,17.645577,0.000000,30.000000,32.110802033,126.000000000,300.0000,-180.0000,-62.488423,86.007936,-169.404344,200.000000
52,5.2000,32.000000000,126.000000000,0.0000,32.125000000,126.028346840,0.0000,-90.0000,24.261783,17.645563,0.000000,30.000000,32.110621680,126.000000000,300.0000,-180.0000,-62.488110,86.007505,-169.404679,200.000000
53,5.3000,32.000000000,126.000000000,0.0000,32.125000000,126.028315048,0.0000,-90.0000,24.261793,17.645550,0.000000,30.000000,32.110441328,126.000000000,300.0000,-180.0000,-62.487797,86.007073,-169.405014,200.000000
54,5.4000,32.000000000,126.000000000,0.0000,32.125000000,126.028283257,0.0000,-90.0000,24.261802,17.645536,0.000000,30.000000,32.110260975,126.000000000,300.0000,-180.0000,-62.487483,86.006642,-169.405348,200.000000
55,5.5000,32.000000000,126.000000000,0.0000,32.125000000,126.028251465,0.0000,-90.0000,24.261812,17.645523,0.000000,30.000000,32.110080623,126.000000000,300.0000,-180.0000,-62.487170,86.006211,-169.405683,200.000000
56,5.6000,32.000000000,126.000000000,0.0000,32.125000000,126.028219674,0.0000,-90.0000,24.261822,17.645509,0.000000,30.000000,32.109900270,126.000000000,300.0000,-180.0000,-62.486856,86.005779,-169.406017,200.000000
57,5.7000,32.000000000,126.000000000,0.0000,32.125000000,126.028187882,0.0000,-90.0000,24.261832,17.645496,0.000000,30.000000,32.109719918,126.000000000,300.0000,-180.0000,-62.486543,86.005348,-169.406352,200.000000
58,5.8000,32.000000000,126.000000000,0.0000,32.125000000,126.028156091,0.0000,-90.0000,24.261841,17.645482,0.000000,30.000000,32.109539566,126.000000000,300.0000,-180.0000,-62.486229,86.004916,-169.406687,200.000000
