step,time,pf_lat,pf_lon,pf_alt,t1_lat,t1_lon,t1_alt,t1_yaw,t1_vx,t1_vy,t1_vz,t1_spd,t2_lat,t2_lon,t2_alt,t2_yaw,t2_vx,t2_vy,t2_vz,t2_spd,t3_lat,t3_lon,t3_alt,t3_yaw,t3_vx,t3_vy,t3_vz,t3_spd
0,0.0000,32.000000000000,126.000000000000,0.000000000,32.120000000000,126.000000000000,300.000000000,-180.000000,-62.504407596,86.029936565,-169.387275336,200.000000000000,32.120000000000,126.000000000000,300.000000000,-180.000000,-62.504407596,86.029936565,-169.387275336,200.000000000000,32.120000000000,126.000000000000,300.000000000,-180.000000,-62.504407596,86.029936565,-169.387275336,200.000000000000
1,0.1000,31.999999999999,126.000000000000,0.000030221,32.119819647828,126.000000000000,300.000030799,-180.000000,-62.504094196,86.029505207,-169.387610062,200.000000000000,32.119819647828,126.000000000000,300.000030799,-180.000000,-62.504094196,86.029505207,-169.387610062,200.000000000000,32.119819647828,126.000000000000,300.000030799,-180.000000,-62.504094196,86.029505207,-169.387610062,200.000000000000
2,0.2000,31.999999999999,126.000000000000,0.000030221,32.119639295652,126.000000000000,300.000030798,-180.000000,-62.503780796,86.029073849,-169.387944786,200.000000000000,32.119639295652,126.000000000000,300.000030798,-180.000000,-62.503780796,86.029073849,-169.387944786,200.000000000000,32.119639295652,126.000000000000,300.000030798,-180.000000,-62.503780796,86.029073849,-169.387944786,200.000000000000
3,0.3000,31.999999999999,126.000000000000,0.000030221,32.119458943470,126.000000000000,300.000030796,-180.000000,-62.503467395,86.028642489,-169.388279509,200.000000000000,32.119458943470,126.000000000000,300.000030796,-180.000000,-62.503467395,86.028642489,-169.388279509,200.000000000000,32.119458943470,126.000000000000,300.000030796,-180.000000,-62.503467395,86.028642489,-169.388279509,200.000000000000
4,0.4000,31.999999999999,126.000000000000,0.000030221,32.119278591284,126.000000000000,300.000030796,-180.000000,-62.503153993,86.028211129,-169.388614230,200.000000000000,32.119278591284,126.000000000000,300.000030796,-180.000000,-62.503153993,86.028211129,-169.388614230,200.000000000000,32.119278591284,126.000000000000,300.000030796,-180.000000,-62.503153993,86.028211129,-169.388614230,200.000000000000
5,0.5000,31.999999999999,126.000000000000,0.000030221,32.119098239092,126.000000000000,300.000030796,-180.000000,-62.502840591,86.027779768,-169.388948950,200.000000000000,32.119098239092,126.000000000000,300.000030796,-180.000000,-62.502840591,86.027779768,-169.388948950,200.000000000000,32.119098239092,126.000000000000,300.000030796,-180.000000,-62.502840591,86.027779768,-169.388948950,200.000000000000
6,0.6000,31.999999999999,126.000000000000,0.000030221,32.118917886895,126.000000000000,300.000030795,-180.000000,-62.502527188,86.027348406,-169.389283668,200.000000000000,32.118917886895,126.000000000000,300.000030795,-180.000000,-62.502527188,86.027348406,-169.389283668,200.000000000000,32.118917886895,126.000000000000,300.000030795,-180.000000,-62.502527188,86.027348406,-169.389283668,200.000000000000
7,0.7000,31.999999999999,126.000000000000,0.000030221,32.118737534693,126.000000000000,300.000030794,-180.000000,-62.502213785,86.026917043,-169.389618384,200.000000000000,32.118737534693,126.000000000000,300.000030794,-180.000000,-62.502213785,86.026917043,-169.389618384,200.000000000000,32.118737534693,126.000000000000,300.000030794,-180.000000,-62.502213785,86.026917043,-169.389618384,200.000000000000
8,0.8000,31.999999999999,126.000000000000,0.000030221,32.118557182486,126.000000000000,300.000030792,-180.000000,-62.501900380,86.026485679,-169.389953098,200.000000000000,32.118557182486,126.000000000000,300.000030792,-180.000000,-62.501900380,86.026485679,-169.389953098,200.000000000000,32.118557182486,126.000000000000,300.000030792,-180.000000,-62.501900380,86.026485679,-169.389953098,200.000000000000
9,0.9000,31.999999999999,126.000000000000,0.000030221,32.118376830273,126.000000000000,300.000030792,-180.000000,-62.501586976,86.026054314,-169.390287811,200.000000000000,32.118376830273,126.000000000000,300.000030792,-180.000000,-62.501586976,86.026054314,-169.390287811,200.000000000000,32.118376830273,126.000000000000,300.000030792,-180.000000,-62.501586976,86.026054314,-169.390287811,200.000000000000
