step,time,pf_lat,pf_lon,pf_alt,t1_lat,t1_lon,t1_alt,t1_yaw,t1_vx,t1_vy,t1_vz,t1_spd,t2_lat,t2_lon,t2_alt,t2_yaw,t2_vx,t2_vy,t2_vz,t2_spd
0,0.0000,32.000000000000,126.000000000000,0.000000000,32.125000000000,126.030000000000,0.000000000,-90.000000,24.261273596,17.646263160,0.000000000,30.000000000000,32.120000000000,126.000000000000,300.000000000,-180.000000,-62.504407596,86.029936565,-169.387275336,200.000000000000
1,0.1000,31.999999999999,126.000000000000,0.000030221,32.124999999999,126.029968208457,0.000030828,-90.000000,24.261283387,17.646249698,0.000000000,30.000000000000,32.119819647828,126.000000000000,300.000030799,-180.000000,-62.504094196,86.029505207,-169.387610062,200.000000000000
2,0.2000,31.999999999999,126.000000000000,0.000030221,32.124999999999,126.029936416915,0.000030828,-90.000000,24.261293178,17.646236237,0.000000000,30.000000000000,32.119639295652,126.000000000000,300.000030798,-180.000000,-62.503780796,86.029073849,-169.387944786,200.000000000000
3,0.3000,31.999999999999,126.000000000000,0.000030221,32.124999999999,126.029904625373,0.000030828,-90.000000,24.261302970,17.646222775,0.000000000,30.000000000000,32.119458943470,126.000000000000,300.000030796,-180.000000,-62.503467395,86.028642489,-169.388279509,200.000000000000
4,0.4000,31.999999999999,126.000000000000,0.000030221,32.124999999999,126.029872833830,0.000030828,-90.000000,24.261312761,17.646209313,0.000000000,30.000000000000,32.119278591284,126.000000000000,300.000030796,-180.000000,-62.503153993,86.028211129,-169.388614230,200.000000000000
5,0.5000,31.999999999999,126.000000000000,0.000030221,32.124999999999,126.029841042288,0.000030828,-90.000000,24.261322552,17.646195851,0.000000000,30.000000000000,32.119098239092,126.000000000000,300.000030796,-180.000000,-62.502840591,86.027779768,-169.388948950,200.000000000000
6,0.6000,31.999999999999,126.000000000000,0.000030221,32.124999999999,126.029809250745,0.000030828,-90.000000,24.261332343,17.646182389,0.000000000,30.000000000000,32.118917886895,126.000000000000,300.000030795,-180.000000,-62.502527188,86.027348406,-169.389283668,200.000000000000
7,0.7000,31.999999999999,126.000000000000,0.000030221,32.124999999999,126.029777459203,0.000030828,-90.000000,24.261342135,17.646168928,0.000000000,30.000000000000,32.118737534693,126.000000000000,300.000030794,-180.000000,-62.502213785,86.026917043,-169.389618384,200.000000000000
8,0.8000,31.999999999999,126.000000000000,0.000030221,32.124999999999,126.029745667661,0.000030828,-90.000000,24.261351926,17.646155466,0.000000000,30.000000000000,32.118557182486,126.000000000000,300.000030792,-180.000000,-62.501900380,86.026485679,-169.389953098,200.000000000000
9,0.9000,31.999999999999,126.000000000000,0.000030221,32.124999999999,126.029713876118,0.000030828,-90.000000,24.261361717,17.646142004,0.000000000,30.000000000000,32.118376830273,126.000000000000,300.000030792,-180.000000,-62.501586976,86.026054314,-169.390287811,200.000000000000
10,1.0000,31.999999999999,126.000000000000,0.000030221,32.124999999999,126.029682084576,0.000030828,-90.000000,24.261371509,17.646128542,0.000000000,30.000000000000,32.118196478056,126.000000000000,300.000030791,-180.000000,-62.501273570,86.025622949,-169.390622522,200.000000000000
11,1.1000,31.999999999999,126.000000000000,0.000030221,32.124999999999,126.029650293034,0.000030828,-90.000000,24.261381300,17.646115080,0.000000000,30.000000000000,32.118016125833,126.000000000000,300.000030790,-180.000000,-62.500960164,86.025191582,-169.390957231,200.000000000000
12,1.2000,31.999999999999,126.000000000000,0.000030221,32.124999999999,126.029618501491,0.000030828,-90.000000,24.261391091,17.646101618,0.000000000,30.000000000000,32.117835773606,126.000000000000,300.000030790,-180.000000,-62.500646758,86.024760215,-169.391291939,200.000000000000
13,1.3000,31.999999999999,126.000000000000,0.000030221,32.124999999999,126.029586709949,0.000030828,-90.000000,24.261400882,17.646088157,0.000000000,30.000000000000,32.117655421373,126.000000000000,300.000030790,-180.000000,-62.500333350,86.024328847,-169.391626645,200.000000000000
14,1.4000,31.999999999999,126.000000000000,0.000030221,32.124999999999,126.029554918406,0.000030828,-90.000000,24.261410673,17.646074695,0.000000000,30.000000000000,32.117475069135,126.000000000000,300.000030788,-180.000000,-62.500019942,86.023897478,-169.391961350,200.000000000000
15,1.5000,31.999999999999,126.000000000000,0.000030221,32.124999999999,126.029523126864,0.000030828,-90.000000,24.261420465,17.646061233,0.000000000,30.000000000000,32.117294716892,126.000000000000,300.000030788,-180.000000,-62.499706534,86.023466108,-169.392296053,200.000000000000
16,1.6000,31.999999999999,126.000000000000,0.000030221,32.124999999999,126.029491335322,0.000030828,-90.000000,24.261430256,17.646047771,0.000000000,30.000000000000,32.117114364643,126.000000000000,300.000030787,-180.000000,-62.499393125,86.023034737,-169.392630754,200.000000000000
17,1.7000,31.999999999999,126.000000000000,0.000030221,32.124999999999,126.029459543779,0.000030828,-90.000000,24.261440047,17.646034309,0.000000000,30.000000000000,32.116934012390,126.000000000000,300.000030786,-180.000000,-62.499079715,86.022603366,-169.392965453,200.000000000000
