dt,x,y,z
1,-3172031.611599248,4380156.585972054,3370510.782099948
0.5,-3172032.119749488,4380155.845640791,3370511.262613772
0.25,-3172032.246759496,4380155.660613052,3370511.382712382
0.2,-3172032.262000102,4380155.638411343,3370511.397123454
0.1,-3172032.282320770,4380155.608809687,3370511.416337989
0.05,-3172032.287400935,4380155.601409403,3370511.421141572
0.025,-3172032.288670971,4380155.599559347,3370511.422342475
0.01,-3172032.289026582,4380155.599041292,3370511.422678730
0.001,-3172032.289093638,4380155.598943614,3370511.422742153
